계약일자,발주기관,계약방법,계약명,계약금액,계약대상자
20260126,남해교육지원청,2인이상수의,2026년 남해교육지원청 관내 학교 저수조 청소 용역,38057990,금산종합환경
20260128,통영교육지원청,2인이상수의,2026년 학교 환경위생관리업무(저수조 청소) 용역,36497230,크린에이스
20260205,거제교육지원청,2인이상수의,2026년 거제교육지원청 관내 학교 저수조 청소 용역(1권역),33748000,우리환경
20260202,거제교육지원청,2인이상수의,2026. 거제교육지원청 관내 학교 저수조 청소 용역(3권역),33474080,주식회사 대각종합관리
20260206,양산교육지원청,2인이상수의,2026. 양산교육지원청 관내 학교 저수조 청소 용역(1권역),31987680,호정그린개발
20260206,거제교육지원청,2인이상수의,2026. 거제교육지원청 관내 학교 저수조 청소 용역(4권역),30698800,에코유방역. 에코유환경
20260310,김해교육지원청,2인이상수의,2026년 학교 환경위생관리업무(저수조 청소) 용역비 지출(4권역),28757670,지원텍
20260130,창원교육지원청,2인이상수의,2026. 창원교육지원청 관내 학교 저수조 청소 용역(8권역),28291730,주식회사 지원시스템
20260130,창원교육지원청,2인이상수의,2026년 창원교육지원청 관내 학교 저수조 청소 용역(5권역),28014400,리앤제이 주식회사
20260202,창원교육지원청,2인이상수의,2026. 창원교육지원청 관내 학교 저수조 청소 용역(7권역),27465530,늘푸른환경
20260129,거제교육지원청,2인이상수의,2026. 거제교육지원청 관내 학교 저수조 청소 용역(2권역),27223360,주식회사 맑은환경산업
20260123,창원교육지원청,2인이상수의,2026년 창원교육지원청 관내 학교 저수조 청소 용역(1권역),26877250,늘푸른환경
20260210,김해교육지원청,2인이상수의,2026년 학교 환경위생관리업무(저수조 청소) 용역(2권역),26656700,장애인기업다우리 주식회사
20260130,창원교육지원청,2인이상수의,2026년 창원교육지원청 관내 학교 저수조 청소 용역(4권역),26353060,청솔환경(주)
20260206,양산교육지원청,2인이상수의,2026. 양산교육지원청 관내 학교 저수조 청소 용역(3권역),26250080,호정그린개발
20260127,거창교육지원청,2인이상수의,2026년 거창교육지원청 관내 학교 저수조 청소 용역,25300000,거창크리닉
20260223,하동교육지원청,2인이상수의,2026. 하동교육지원청 학교 저수조 청소 용역,24934890,도영산업(주)
20260128,밀양교육지원청,2인이상수의,2026년 밀양교육지원청 관내학교 저수조 청소 용역,24768590,태산건설(주)
20260130,창원교육지원청,2인이상수의,2026년 창원교육지원청 관내 학교 저수조 청소 용역(3권역),24745530,창원종합관리주식회사
20260206,양산교육지원청,2인이상수의,2026. 양산교육지원청 관내 학교 저수조 청소 용역(2권역),24174660,삼보헬퍼스
