계약일자,기관,목적물,계약명,계약금액,계약상대자,기준월
2026-07-20,수도여자고등학교,공사,급식실(조리실 및 세척실) 노후바닥 개선공사,49500000,주식회사 해상,202607
2026-07-31,연신중학교,용역,2026학년도 여름방학 후관동 대청소 실시(G2B),8770000,(주)동명종합환경,202607
2026-07-24,동도중학교,용역,동도중학교 냉난방기 분해세척 및 공기청정필터청소 시행(여름방학),7660000,(주)인간과컴퓨터,202607
2026-06-29,수도여자고등학교,용역,급식 조리실 및 세척실 노후 바닥 개선공사 설계 용역 실시,6629000,건축사사무소 가람,202606
2026-07-24,서울공덕초등학교,공사,"(G2B)급식실 식기세척기 교체에 따른 제반 공사(온수기 설치, 가스 공사 등)",5800000,제이비건설 주식회사,202607
2026-06-01,불광중학교,용역,2026년 식기 렌탈 세척 위탁 비용 지출,5600000,(주)식판천사,202606
2026-07-08,서울금화초등학교,공사,2026년 학교급식 환경개선 조리기구(자동식기세척기) 설치관련 가스 공사 대금 지급,5500000,제이비건설 주식회사,202607
2026-07-22,서울신내초등학교,공사,노후 급식기구(식기세척기) 교체 관련 온수기 설치 및 도시가스 배관공사,4900000,제이비건설(주),202607
2026-06-04,노원중학교,공사,운동장 배수로 청소 공사,4070000,성신기업 주식회사,202606
2026-06-11,등촌고등학교,공사,여자화장실 대변기 세척밸브 교체 및 기계실 사다리 보수 공사,3663000,(주)대일디앤씨,202606
2026-06-10,홍은중학교,공사,[시설적립금] 체육관 옥상 배수로청소 및 외벽 홈통보수 공사 실시,3212000,신강기업,202606
2026-07-10,동작고등학교,공사,화장실 세척밸브 및 양변기 교체 등 공사,3168000,학연,202607
2026-07-16,서울북한산초등학교,공사,남자화장실 소변기 세척밸브 교체 설치비 지급,2640000,탑산건설(주),202607
2026-06-26,서울연광초등학교,용역,2026학년도 6월 교실 청소 용역료 지츨,2572570,(주)케이디텍,202606
2026-07-09,서울체육고등학교,공사,[원인] 급식실 외부 배수관 고압청소,2508000,시원건설,202607
2026-05-22,한성중학교,용역,배수관로 청소용역비 지급,2464000,에스엠건설,202605
2026-07-22,서울신내초등학교,공사,노후 급식기구(세척기) 교체 관련 덕트연결 및 이설 공사,2420000,유진금속(주),202607
2026-07-08,서울금화초등학교,공사,2026년 학교급식 환경개선 조리기구(자동식기세척기) 설치관련 전기공사 대금 지급,2420000,대영트레픽(주),202607
2026-05-27,서울연광초등학교,용역,2026학년도 5월 교실 청소 용역료 지츨,2211750,(주)케이디텍,202605
2026-07-14,수도여자고등학교,용역,본관 교실 냉난방기 화학세척 용역,2178000,(주)초록우산하우스크리닝,202607
2026-05-27,서울연신초등학교,용역,교내 냉방기 필터 및 분리세척비용 지출,2062500,드림장애인보호작업장,202605
2026-07-28,서울연광초등학교,용역,2026학년도 7월 교실 청소 용역료 지츨,1971200,(주)케이디텍,202607
2026-05-26,서울웹툰애니메이션고등학교,용역,(혁신지구) 2026 제4회 SWAS 웹툰애니 실기대전 관련 지출(청소),1921000,주식회사 한솔에듀,202605
2026-07-07,천왕중학교,공사,(급식실) 애벌세척기 전원신설 공사비 지출,1320000,원앤원산업개발(주),202607
2026-05-27,서울은빛초등학교,용역,전체 교실 및 특별실 등 냉난방기 청소 대금 지출,1300000,(주)케이디텍,202605
2026-07-22,서울연광초등학교,용역,2026년 급식실 환기시설 청소용역 실시,1200000,클린엔셋,202607
2026-07-28,연신중학교,용역,"급식실, 조리실 닥트 및 후드 청소 용역 실시",1200000,주식회사 다인에스,202607
2026-07-28,문일중학교,용역,급식실 후드청소비 지급,1200000,유한회사 에스오에스,202607
2026-07-02,녹천중학교,용역,급식실 환기시설 청소비,1200000,케이에스테크,202607
2026-07-20,서울웹툰애니메이션고등학교,용역,2026학년도 급식실 후드 청소 실시,1200000,(주)동부두라크린에어,202607
2026-07-15,동도중학교,용역,동도중학교 정화조 청소 시행,1143000,(주)정일환경,202607
2026-05-22,신방학중학교,공사,화장실 걸레세척기 설치,1100000,성신기업(주),202605
2026-05-28,서울용강초등학교,용역,냉난방기 필터 및 그릴 청소,1020000,클린베어,202605
2026-05-28,성산중학교,용역,학생식당 에어컨 화학세척 실시,1020000,삼성전자로지텍（주）,202605
2026-06-02,서울고은초등학교,용역,"선풍기 청소(천정형, 벽걸이 스탠드)",990000,드림장애인보호작업장,202606
2026-06-22,온곡중학교,용역,교내 각실 냉난방기 기본 세척 용역,840000,크린스쿨,202606
2026-06-17,공항고등학교,공사,식당 세척실 전기 배선 작업 실시,830000,(주)신흥이엔지,202606
2026-05-20,여의도중학교,용역,한마음홀 바닥 왁스 청소 실시,800000,동아환경,202605
2026-06-24,서울금화초등학교,공사,본관 화장실 세면대 배관 세척 공사,660000,358디자인그룹,202606
2026-05-20,경복여자고등학교,용역,교내 냉·난방기 화학 세척 추가 실시,594000,하이엠솔루텍주식회사,202605
2026-07-23,홍익대학교사범대학부속여자중학교,물품,정화조 청소,567000,(주)마포그린,202607
2026-06-26,휘경여자중학교,용역,건산홀 청소비 지출,500000,코드네임클린,202606
2026-05-27,방학중학교,용역,동관동 1층(다가치학교) 냉난방기 세척비 지출,460000,(주)에코클린,202605
2026-07-15,휘경중학교,물품,급식실 릴호스 밸브 및 세척기 내부소모품 추가 교체 비용 지출,363000,아쿠아테크진,202607
2026-05-25,성산중학교,물품,급식실 기기(식기세척기) 수리,363000,금강,202605
2026-07-22,문래중학교,물품,급식실 세척실 트렌치 실리콘 작업 및 2건 수리,308000,삼일ENG,202607
2026-05-29,서울홍파초등학교병설유치원,용역,유치원 에어컨 세척비 지급,306000,하이엠솔루텍주식회사,202605
2026-06-18,독산고등학교,공사,급식실 식기세척기 스팀 엘보 배관 교체,283000,성호종합건설,202606
2026-05-28,가락고등학교,물품,급식실 식기세척기 수리(스텐헹굼노즐교체),231000,(주)대양에스티,202605
2026-07-22,문래중학교,물품,급식실 식기세척기 수리,220000,금강,202607
2026-05-17,서울웹툰애니메이션고등학교,용역,2026년 정화조(아트리움) 청소,141670,(주)관악실업,202605
2026-05-29,압구정고등학교,물품,5월 강당 및 복도 청소용 기름걸레 교체비용 지출,114950,그린코리아,202605
2026-07-07,불광중학교,용역,급식실 세척기 수리비 지출,110000,(주)프라임,202607
2026-06-09,영원중학교,물품,급식실 내 식기세척기 고무엘보 교체 비용 지출,110000,(주)대양에스티,202606
2026-05-18,서울신도초등학교병설유치원,물품,2026년도 유치원 청소 용품(락스 외 2종)비 지출,56810,쿠팡(주),202605
2026-07-27,강일고등학교,물품,(카드) 2026학년도 자기주도학습센터 교육운영비(청소물품)지출,40520,지마켓,202607
