계약일자,발주기관,계약방법,목적물,계약명,계약금액,계약상대자
2026-01-29,인천광역시교육청학교지원단,2인이상수의,용역,인천과학예술영재학교 등 12교 실내 복도계단 청소용역,52396000,주식회사 아란환경
2026-01-27,인천광역시교육청학교지원단,2인이상수의,용역,인천대화초등학교 등 12교 실내 복도계단 청소용역,45991000,백마환경산업
2026-01-29,인천광역시교육청학교지원단,2인이상수의,용역,계양고등학교 등 12교 실내 복도계단 청소용역,37921000,주식회사 그린플러스알앤디
2026-03-12,인천백운초등학교,1인수의,용역,2026학년도 청소용역비(화장실 및 복도) 지급,37250000,사회적협동조합 서해크린
2026-03-03,인천후정초등학교,1인수의,용역,"2026학년도 청소용역(화장실,복도,다목적강당)비 지급",36150000,사회적협동조합 서해크린
2026-01-27,인천광역시교육청학교지원단,2인이상수의,용역,강남영상미디어고등학교 등 11교 실내 복도계단 청소용역,31996000,주식회사 베스트쉴드
2026-04-13,인천광역시교육청학교지원단,2인이상수의,용역,동인천고등학교 등 20교 운동장 배수로 청소 용역 시행 및 계약요청,31961000,아이엠빌딩주식회사
2026-04-13,인천광역시교육청학교지원단,2인이상수의,용역,인천부평서초등학교 등 20교 운동장 배수로 청소 용역 시행 및 계약요청,30140000,주식회사 송내이엔씨
2026-03-25,부원여자중학교,1인수의,용역,2026학년도 화장실 및 복도 청소 용역비 지급,28370000,사회적협동종합 서해크린
2026-03-05,부광고등학교,1인수의,용역,2026학년도 화장실 청소 용역비 지급,28022350,동연개발(주)
2026-03-04,인천부광초등학교,1인수의,용역,2026학년도 화장실 복도 청소 용역비 지급,26000000,서해크린
2026-03-01,인천숭의초등학교,1인수의,용역,화장실 및 복도 청소 용역비 지급,25524800,동연개발주식회사
2026-03-01,인천송명초등학교,1인수의,용역,2026학년도 화장실청소 용역 계약,23162880,주식회사 뉴크린아트
2026-03-19,인천학익초등학교,1인수의,용역,2026학년도 화장실 및 복도계단 청소 용역비 지급,22000000,인천희망지역자활센터
2026-03-03,가림고등학교,1인수의,용역,2026학년도 시설관리 청소용역비 지출,22000000,인천서구지역자활센터
2026-03-01,학익고등학교,1인수의,용역,"2026. 3월~ 2027. 2월 화장실 청소용역비 지급(26년8월, 27년1월 제외)",22000000,인천희망지역자활센터
2026-03-01,인천봉화초등학교,1인수의,용역,2026학년도 화장실 복도 청소유지보수 용역비 지급[2026.3월~2027.2월],22000000,인천서구지역자활센터
2026-03-25,부평여자중학교,1인수의,용역,2026학년도 화장실 청소 용역,20430000,사회적협동조합 서해크린
2026-03-01,부평서여자중학교,1인수의,용역,2026학년도 화장실청소 용역비,19880000,사회적협동조합 서해크린
2026-03-01,인천굴포초등학교,1인수의,용역,2026학년도 시설물청소 용역비 지급,19540000,사회적협동조합 서해크린
2026-03-01,인천대정초등학교,1인수의,용역,2026학년도 복도 및 계단 청소 용역비 지급,19490000,사회적협동조합 서해크린
2026-03-13,인천부평북초등학교,1인수의,용역,2026학년도 서관동 청소용역비 지급(개미서비스),18394000,주식회사 개미서비스
2026-03-04,인천진산초등학교,1인수의,용역,2026학년도 화장실 청소용역비 지급,18320000,사회적협동조합 서해크린
2026-03-04,인천진산초등학교,1인수의,용역,2026학년도 복도 및 계단 청소용역비 지급,18320000,사회적협동조합 서해크린
2026-03-01,인일여자고등학교,1인수의,용역,"2026학년도 교사2,3동 화장실 청소 용역 유지보수비 지급",18095000,선문그린존(주)
